"experiment_id","symbol","timeframe","horizon","start","end","indicator_set","atr_period","sl_mult","tp_mult","trail","sizing","atr_risk_pct","fixed_lot","commission_per_side","spread_points","slippage_points","max_positions","cooldown_bars","notes"
"Se5ac59fb0178b86b","US100Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","10","2.24","1.64","none","ATR_RISK","0.68",,"0","13","39","1","5",""
"Sf933e366b346b2d9","US100Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","20","1.84","2.38","none","ATR_RISK","0.28",,"0","34","27","1","5",""
"S67c9ba94cd5f6394","US500Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","18","1.61","2.71","none","FIXED_LOT",,"0.36","0","4","6","2","0",""
"S611ac7e6276da42c","USOILZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","10","1.94","1.66","none","ATR_RISK","0.47",,"0","3","15","1","0",""
"Sba686a2db17855ba","US500Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","11","1.54","2.5","none","FIXED_LOT",,"0.47","0","5","3","2","10",""
"S48738accc6867429","XAUZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","16","1.78",,"atr1.0","ATR_RISK","0.91",,"0","41","56","1","0",""
"S5e4daaf0fb6aff46","US500Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","11","1.21","1.26","none","ATR_RISK","0.92",,"0","7","7","1","0",""
"S3c96eabf9e04b0fa","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","16","1.29",,"atr1.0","ATR_RISK","0.18",,"0","16","21","1","5",""
"Sa379177000b4e193","USOILZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","14","1.93","3.43","none","FIXED_LOT",,"0.47","0","13","11","1","5",""
"Se5b0aa2ab0e41039","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","18","2.94","3.48","none","ATR_RISK","0.92",,"0","5","6","2","0",""
"S75a4d00a2c09c7c8","XAUZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","10","2.72","3.58","none","ATR_RISK","0.19",,"0","59","16","2","0",""
"Sd9a0a52232335b34","USOILZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","17","1.77",,"atr1.0","ATR_RISK","0.77",,"0","4","4","1","0",""
"Sd4e0ddf12525770c","XAUZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","13","2.99","2.93","none","ATR_RISK","0.14",,"0","24","54","2","10",""
"Sc226c1079ad0f4b4","USOILZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","2.7","1.35","none","FIXED_LOT",,"0.25","0","13","13","2","0",""
"Sca45c31946dbc193","USOILZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","17","2.03","2.47","none","ATR_RISK","0.35",,"0","7","4","1","0",""
"S8e0a40dbbea9b7ac","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","15","2.43",,"atr1.0","ATR_RISK","0.8",,"0","4","7","2","0",""
"S327ff63f60a54c03","US100Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","16","1.4",,"atr1.0","FIXED_LOT",,"0.22","0","33","28","1","10",""
"Se1fe4acca7b41849","US500Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","15","1.57","3.85","none","ATR_RISK","0.37",,"0","7","4","1","0",""
"S3801f68e3b847cfc","USOILZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","13","2.06","2.11","none","ATR_RISK","0.35",,"0","5","9","1","0",""
"Sb358019d21ad4396","US100Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","18","1.86","1.3","none","ATR_RISK","0.13",,"0","36","11","1","0",""
"Sfb8f587ae578b1e9","BTCX25.sim","H4","3y","2022-11-10","2025-11-10","N/A","10","2.21","3.63","none","ATR_RISK","0.21",,"0","119","49","1","0",""
"Sef0952e2073b4844","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","11","2.37","2.4","none","ATR_RISK","0.56",,"0","20","23","1","0",""
"S797e3ca4b0abfa3b","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","21","1.72","1.5","none","FIXED_LOT",,"0.43","0","5","7","1","5",""
"S73c8e5a5a38e156f","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","10","1.62","2.89","none","ATR_RISK","0.83",,"0","55","19","2","0",""
"S872292cfe07f19f4","US500Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","11","1.46","2.53","none","ATR_RISK","0.47",,"0","4","2","1","5",""
"S8ca1ff3804d272ee","BTCX25.sim","M30","5y","2020-11-10","2025-11-10","N/A","12","2.44","3.79","none","ATR_RISK","0.14",,"0","45","23","1","0",""
"Sc512f22d59543c0b","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","18","2.32","1.38","none","ATR_RISK","0.25",,"0","7","8","1","0",""
"S3b8f3bf712dfeed1","BTCX25.sim","H4","5y","2020-11-10","2025-11-10","N/A","11","2.67",,"atr1.0","FIXED_LOT",,"0.29","0","40","79","1","0",""
"S1f217764540e7565","US100Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","12","1.87","2.48","none","FIXED_LOT",,"0.34","0","10","25","2","5",""
"S4570bf47a393ea3a","BTCX25.sim","M30","5y","2020-11-10","2025-11-10","N/A","17","2.17","3.87","none","ATR_RISK","0.44",,"0","83","36","1","10",""
"Sc8ed447aae3271e5","US500Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","21","2.57","2.68","none","ATR_RISK","0.49",,"0","2","2","2","10",""
"Sce52491fe25c6eeb","USOILZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","17","2.67","2.48","none","ATR_RISK","0.17",,"0","13","12","2","5",""
"Se9a543c21c24860b","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","19","1.41","2.72","none","ATR_RISK","0.13",,"0","8","4","1","0",""
"S5815a53834ed5a66","US30Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","13","1.38",,"atr1.0","FIXED_LOT",,"0.38","0","20","25","1","5",""
"S727bcbcea4aa0126","BTCX25.sim","H4","5y","2020-11-10","2025-11-10","N/A","15","1.85","3.54","none","ATR_RISK","0.18",,"0","62","95","1","5",""
"Sa826fb6f28999827","USOILZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","13","2.77","3.66","none","FIXED_LOT",,"0.31","0","4","3","2","5",""
"S0a3c9584cd07d195","BTCX25.sim","H4","5y","2020-11-10","2025-11-10","N/A","21","1.62","2.62","none","ATR_RISK","0.38",,"0","107","56","1","5",""
"S81092642a4c3b988","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","11","2.49","2.93","none","FIXED_LOT",,"0.1","0","31","20","1","10",""
"S9af68fa3ed9d3b20","US500Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","12","2.68",,"atr1.0","ATR_RISK","0.63",,"0","5","2","2","0",""
"S13659640b2418f82","US100Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","15","2.41","3.99","none","ATR_RISK","0.28",,"0","19","28","1","0",""
"S2cd317f022be0a53","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","10","2.27",,"atr1.0","FIXED_LOT",,"0.28","0","4","4","2","0",""
"S299245775999061d","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","1.35","1.72","none","FIXED_LOT",,"0.5","0","16","19","1","0",""
"S7e40a384aee9066b","US500Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","11","2.38",,"atr1.0","ATR_RISK","0.51",,"0","7","5","2","0",""
"S34917bf5310c81ce","XAUZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","21","2.37","3.05","none","ATR_RISK","0.22",,"0","40","30","2","10",""
"S6ace9e31ac10b636","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","15","1.95","3.11","none","ATR_RISK","0.87",,"0","8","21","1","0",""
"S2d944d13dec121f3","BTCX25.sim","M30","3y","2022-11-10","2025-11-10","N/A","20","1.64","2.52","none","FIXED_LOT",,"0.3","0","100","34","2","0",""
"Sba624f6787c3db46","BTCX25.sim","M30","5y","2020-11-10","2025-11-10","N/A","10","2.72","2.84","none","ATR_RISK","0.59",,"0","76","85","1","0",""
"Sc6d005cd6f55865a","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","18","2.58","2.54","none","ATR_RISK","0.16",,"0","36","56","1","0",""
"Sc7602ae1401788cc","BTCX25.sim","M30","5y","2020-11-10","2025-11-10","N/A","16","2.66","2.84","none","ATR_RISK","0.21",,"0","85","86","2","0",""
"Sb290a04cfb5651bc","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","12","2.26",,"atr1.0","FIXED_LOT",,"0.42","0","3","8","1","10",""
"S92235703401f6d25","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","10","2.39","2.61","none","FIXED_LOT",,"0.27","0","7","11","1","10",""
"S84f66463dfc56641","BTCX25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","2.04","3.46","none","FIXED_LOT",,"0.26","0","51","77","1","10",""
"Sa8f0e5ff37156d46","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","16","2.58","3.26","none","ATR_RISK","0.8",,"0","7","5","1","0",""
"S2512f0d1220fadeb","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","19","2.78","1.23","none","ATR_RISK","0.86",,"0","21","15","1","0",""
"Scf547f314b23c9ba","USOILZ25.sim","H1","5y","2020-11-10","2025-11-10","N/A","16","2.25","3.72","none","FIXED_LOT",,"0.32","0","12","9","2","0",""
"Sc5734315ec2a8851","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","21","2.98","2.09","none","ATR_RISK","0.38",,"0","6","8","1","0",""
"Sc2f97cded9efca0e","USOILZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","10","1.2","1.3","none","ATR_RISK","0.94",,"0","5","11","1","5",""
"Sfc87729060720191","US500Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","16","1.95","3.59","none","ATR_RISK","0.3",,"0","6","8","2","5",""
"S0853166614939f32","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","17","2.83",,"atr1.0","FIXED_LOT",,"0.12","0","36","33","1","0",""
"Sc1501888d7e09e9e","BTCX25.sim","H1","3y","2022-11-10","2025-11-10","N/A","10","2.03","3.01","none","FIXED_LOT",,"0.14","0","104","39","1","5",""
"Se4e524b90bfd72b9","US100Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","20","2.5","3.42","none","ATR_RISK","0.3",,"0","29","36","1","0",""
"S6787ce16e987c196","US100Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","17","2.13","2.81","none","FIXED_LOT",,"0.36","0","36","38","1","5",""
"Sc550a3924b372fcc","US500Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","17","1.95","1.79","none","FIXED_LOT",,"0.35","0","6","2","1","0",""
"Sec211560b08fdff6","US100Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","16","2.99",,"atr1.0","ATR_RISK","0.27",,"0","38","11","1","0",""
"S9a08d41b8d37bc85","US100Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","19","2.2","3.64","none","ATR_RISK","0.96",,"0","13","27","1","5",""
"S809b0ad48e026dbb","US100Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","14","2.3","1.78","none","ATR_RISK","0.43",,"0","13","18","1","0",""
"Sef46ea254f9acca4","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","16","2.09",,"atr1.0","ATR_RISK","0.14",,"0","4","4","1","0",""
"Sdbd7c75d1b5043af","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","21","1.54",,"atr1.0","FIXED_LOT",,"0.16","0","23","21","1","10",""
"Sc135a068b2ae8bc0","BTCX25.sim","M30","5y","2020-11-10","2025-11-10","N/A","12","1.57","3.18","none","ATR_RISK","0.22",,"0","58","98","1","0",""
"Scab8f354d6504dff","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","2.27",,"atr1.0","FIXED_LOT",,"0.05","0","4","5","1","10",""
"S2c26c58b1c300e25","US500Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","16","1.97","1.37","none","ATR_RISK","0.2",,"0","7","3","1","0",""
"S0b0f7589a0652e6e","USOILZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","21","2.87","1.78","none","ATR_RISK","0.75",,"0","13","9","1","10",""
"Sff21ba193eb7c86a","US100Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","21","1.95","1.35","none","ATR_RISK","0.85",,"0","33","32","2","5",""
"S019fa9a800384279","US30Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","11","2.24","1.85","none","FIXED_LOT",,"0.39","0","25","12","1","0",""
"S02fcf9301bfb6253","BTCX25.sim","H4","3y","2022-11-10","2025-11-10","N/A","17","1.87","1.56","none","ATR_RISK","0.11",,"0","58","43","1","0",""
"S120f8e6de51f2e0a","US500Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","21","1.89","3.97","none","ATR_RISK","0.67",,"0","5","8","1","0",""
"S7c5a3fe4d4a27c8d","US30Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","16","2.51",,"atr1.0","FIXED_LOT",,"0.5","0","7","11","1","0",""
"S7569ecfb20bf1077","US500Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","11","1.35","1.47","none","FIXED_LOT",,"0.14","0","2","3","1","5",""
"Sd173cc8d3a30aae6","XAUZ25.sim","H1","5y","2020-11-10","2025-11-10","N/A","12","1.43","3.55","none","ATR_RISK","0.23",,"0","28","59","1","0",""
"S86c30832ec09365d","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","14","1.7","3.15","none","FIXED_LOT",,"0.49","0","33","17","1","0",""
"S85cb765b7b283fe3","US30Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","10","1.22",,"atr1.0","ATR_RISK","0.79",,"0","9","17","2","5",""
"S6d018ca43ead734e","USOILZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","11","1.66","3.64","none","ATR_RISK","0.64",,"0","11","3","2","5",""
"Sf7d2c13599af03b9","BTCX25.sim","M30","3y","2022-11-10","2025-11-10","N/A","21","2.25",,"atr1.0","FIXED_LOT",,"0.11","0","77","35","1","0",""
"Sc490350d04499467","US30Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","14","2.5","2.68","none","ATR_RISK","0.65",,"0","12","23","1","5",""
"S0e28a6b9ee51cd8b","BTCX25.sim","H1","5y","2020-11-10","2025-11-10","N/A","16","2.92","3.43","none","FIXED_LOT",,"0.16","0","40","88","1","10",""
"S4c937f90107a01d5","XAUZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","17","1.86","3","none","ATR_RISK","0.24",,"0","37","56","1","10",""
"S27673c8d1f058c4e","US100Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","12","2.04","3.95","none","ATR_RISK","0.87",,"0","27","29","1","5",""
"S1e7ff08fb7750ab0","BTCX25.sim","M30","3y","2022-11-10","2025-11-10","N/A","20","1.47","1.41","none","FIXED_LOT",,"0.46","0","29","56","2","10",""
"S7d2d32965b5f496b","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","16","1.22","2.11","none","ATR_RISK","0.35",,"0","12","13","1","5",""
"Sbe8149fbd7de5b2c","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","18","2.76","1.32","none","FIXED_LOT",,"0.09","0","22","40","1","0",""
"Sda41aa9351507e65","XAUZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","13","1.89",,"atr1.0","ATR_RISK","0.55",,"0","27","41","1","0",""
"Sb8196c967b116735","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","16","1.94","2.06","none","FIXED_LOT",,"0.24","0","12","50","1","0",""
"S678831dee83c062e","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","12","1.2","1.41","none","ATR_RISK","0.65",,"0","33","15","1","0",""
"Sfce6dd4306de210f","USOILZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","12","2.82","2.17","none","ATR_RISK","0.37",,"0","4","12","1","5",""
"Sbb80907eb973f94f","US500Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","21","2.24","2.94","none","ATR_RISK","0.24",,"0","2","3","1","0",""
"Secb3f1d3ff28a005","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","21","2.11",,"atr1.0","ATR_RISK","0.47",,"0","60","11","2","0",""
"S7e3e6d3292d535f2","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","19","2.86","1.67","none","ATR_RISK","0.38",,"0","15","14","2","5",""
"S6c0b4966f4689a40","US100Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","21","2.6","2.8","none","FIXED_LOT",,"0.3","0","11","16","1","0",""
"S8245bbb56ee6b989","XAUZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","13","2.08","2.84","none","FIXED_LOT",,"0.24","0","21","41","1","0",""
"Sc49ebb2c911d2a96","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","10","1.45","1.93","none","ATR_RISK","0.4",,"0","10","24","1","0",""
"Sf92041372a960898","BTCX25.sim","H1","5y","2020-11-10","2025-11-10","N/A","17","1.35","2.12","none","ATR_RISK","0.42",,"0","70","41","1","0",""
"S2db4e34b86202b2e","BTCX25.sim","M30","3y","2022-11-10","2025-11-10","N/A","18","2.33","2.88","none","ATR_RISK","0.18",,"0","65","91","1","10",""
"S5bd62e4c6c08188c","US500Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","12","1.98","3.41","none","ATR_RISK","0.84",,"0","3","6","2","0",""
"Sd7ebab47b9af9833","BTCX25.sim","H4","3y","2022-11-10","2025-11-10","N/A","19","2.31",,"atr1.0","FIXED_LOT",,"0.11","0","115","29","1","0",""
"S30f9b8e3cf20b9f2","XAUZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","17","2.5","2.62","none","ATR_RISK","0.27",,"0","25","18","1","0",""
"Se78af0d88135b92e","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","18","2.92","1.87","none","FIXED_LOT",,"0.27","0","6","18","2","0",""
"S077abfd09c6f4a86","USOILZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","19","2.18",,"atr1.0","ATR_RISK","0.69",,"0","13","13","2","5",""
"Sba2da3ca2e110b7e","US30Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","19","2.92","3.55","none","ATR_RISK","0.71",,"0","17","19","1","0",""
"Sdcc99cbefc8fdf0b","USOILZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","18","1.42",,"atr1.0","ATR_RISK","0.81",,"0","8","3","2","0",""
"Sb651a4dc33e597bb","US500Z25.sim","H4","5y","2020-11-10","2025-11-10","N/A","21","2.02","2.77","none","ATR_RISK","0.21",,"0","7","6","1","0",""
"S35563dec0f6f7d9f","XAUZ25.sim","H1","3y","2022-11-10","2025-11-10","N/A","18","2.32","3.91","none","FIXED_LOT",,"0.21","0","38","57","1","10",""
"S611dfe3f9efa2d67","BTCX25.sim","H4","3y","2022-11-10","2025-11-10","N/A","19","2.43","1.84","none","ATR_RISK","0.57",,"0","96","96","1","0",""
"S6316d8383590e818","US100Z25.sim","M30","5y","2020-11-10","2025-11-10","N/A","13","1.45","1.45","none","ATR_RISK","0.63",,"0","25","25","1","5",""
"Sc7bc95cd094fc58e","BTCX25.sim","H4","3y","2022-11-10","2025-11-10","N/A","10","1.57",,"atr1.0","ATR_RISK","0.55",,"0","75","98","1","0",""
"S88276fb546c69088","US30Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","19","1.22","1.23","none","ATR_RISK","0.46",,"0","25","22","1","0",""
"S169afcd5c5de8fc6","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","1.41","1.49","none","FIXED_LOT",,"0.45","0","5","4","1","0",""
"S94b750448f01ffb1","XAUZ25.sim","H1","5y","2020-11-10","2025-11-10","N/A","18","2.57","3.09","none","FIXED_LOT",,"0.49","0","18","18","2","0",""
"S5f04583abb859e3f","BTCX25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","2.67",,"atr1.0","ATR_RISK","0.1",,"0","99","96","1","0",""
"S0bf9d2d05d0151a9","US500Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","15","1.71","2.84","none","ATR_RISK","0.6",,"0","3","4","1","5",""
"S71176fe293c621f2","US100Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","10","2.01","1.35","none","ATR_RISK","0.59",,"0","27","28","1","0",""
"S3ae7e70c2a5c9aa7","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","15","2.57","3.99","none","ATR_RISK","0.4",,"0","53","13","1","5",""
"S820e90d729a9bb22","US100Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","10","2.09",,"atr1.0","ATR_RISK","0.75",,"0","28","27","1","10",""
"S6770a0c5a3c2eda7","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","17","2.8","1.25","none","ATR_RISK","0.82",,"0","3","3","2","0",""
"S9d4d4d976194de90","US500Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","11","2.78","3.09","none","ATR_RISK","0.78",,"0","8","5","2","0",""
"S9d8e93585c4090c9","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","19","1.27","3.5","none","ATR_RISK","0.48",,"0","12","17","2","0",""
"Sa50c88a9f9673a9c","USOILZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","20","2.95","3.6","none","FIXED_LOT",,"0.06","0","10","5","1","5",""
"S30af18b99485ddbb","USOILZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","16","2.14","3.37","none","ATR_RISK","0.86",,"0","9","4","1","0",""
"Scc6e4253eeb955c1","XAUZ25.sim","H4","3y","2022-11-10","2025-11-10","N/A","10","1.62","1.71","none","ATR_RISK","0.74",,"0","42","21","2","0",""
"S24fa21eb3146057a","US100Z25.sim","M30","3y","2022-11-10","2025-11-10","N/A","10","2.92","1.61","none","ATR_RISK","0.86",,"0","39","15","2","10",""
"Scc8a4bc2cfc4ea41","XAUZ25.sim","M30","5y","2020-11-10","2025-11-10","N/A","11","2.14","3.57","none","FIXED_LOT",,"0.39","0","54","28","2","0",""
"S8d210ee540d95554","XAUZ25.sim","H1","5y","2020-11-10","2025-11-10","N/A","12","1.6",,"atr1.0","FIXED_LOT",,"0.27","0","47","49","2","10",""
"S7ee17354252e5370","XAUZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","20","2.43",,"atr1.0","ATR_RISK","0.27",,"0","31","56","1","0",""
"S9e9ff7e7742d9951","XAUZ25.sim","M30","3y","2022-11-10","2025-11-10","N/A","10","1.71","1.58","none","ATR_RISK","0.14",,"0","43","23","1","0",""
"Sd86c437b9a5fb78a","XAUZ25.sim","H4","5y","2020-11-10","2025-11-10","N/A","11","1.75","2.29","none","ATR_RISK","0.35",,"0","59","12","2","10",""
"Sbeac58d7490226dd","US30Z25.sim","H4","3y","2022-11-10","2025-11-10","N/A","19","2.79","2.32","none","FIXED_LOT",,"0.3","0","8","9","1","0",""
"S7f6090a1e8eabee0","US100Z25.sim","H1","3y","2022-11-10","2025-11-10","N/A","19","2.84","1.69","none","FIXED_LOT",,"0.06","0","18","20","1","0",""
"Scdb895d40b855551","US30Z25.sim","H1","5y","2020-11-10","2025-11-10","N/A","14","1.46","1.42","none","ATR_RISK","0.43",,"0","11","11","1","5",""
